min_score   en_source_len   en_source_vocab_len col_len col_vocab_len   en_source_url
-29158.935816	3274	777	386177	13159	http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio&categ=54
-4405.431425	503	308	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=vanessabeecroft
-2663.644332	304	195	386177	13159	http://bugadacargnel.com/en/pages/artistes.php?name=annikalarsson
-7641.312312	865	332	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=marcoboggiosella-pierogolia-marcellosimeone&page=oeuvrespresentees
-4597.819270	496	316	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=marcbijl
-15680.697494	1832	142	386177	13159	http://bugadacargnel.com/en/pages/artistes.php?name=18492&page=portfolio
-8495.636870	947	381	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=35&page=oeuvrespresentees
-8851.993345	884	199	386177	13159	http://bugadacargnel.com/en/pages/artistes.php?name=6564&page=portfolio
-9761.837467	1113	583	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=sarahemerson-vidyagastaldon-mariamarshall
-8340.244070	939	523	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=40
-11157.573350	1265	672	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=33
-14979.435329	1661	476	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw-jameshopkins-richardwoods&page=oeuvrespresentees
-8822.524940	969	179	386177	13159	http://bugadacargnel.com/en/pages/artistes.php?name=matcollishaw&page=portfolio&categ=32
-5705.315565	655	380	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=24
-5918.107038	659	372	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=25
-7967.212030	889	492	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=36
-1033.383235	112	83	386177	13159	http://bugadacargnel.com/en/pages/accueil.php
-4276.995742	478	278	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=irisvandongen
-4023.201790	457	290	386177	13159	http://bugadacargnel.com/en/pages/expositions.php?name=matcollishaw
-39100.365786	4521	1436	1601946	21192	http://cbsc.ca/english/decisions/2005/050916.php
-41061.828836	4561	1493	1601946	21192	http://cbsc.ca/english/decisions/1995/951206b.php
-50404.562698	5517	1560	1601946	21192	http://cbsc.ca/english/decisions/2007/070523.php
-80714.791295	8935	2189	1601946	21192	http://cbsc.ca/english/decisions/2007/070412B.php
-30300.121530	3548	1160	1601946	21192	http://cbsc.ca/english/decisions/1999/990623b.php
-48154.017032	5739	1642	1601946	21192	http://cbsc.ca/english/decisions/1999/990528.php
-30442.065424	3427	1265	1601946	21192	http://cbsc.ca/english/decisions/2010/101117.php
